publisher;agr_type;publisher_journal_title;publisher_journal_id;publisher_pissn;publisher_eissn;publisher_journal_type;publisher_journal_price_eur;publisher_journal_price_usd;publisher_journal_price_gbp;publisher_journal_apc_eur;publisher_journal_apc_usd;publisher_journal_apc_gbp;publisher_journal_apc_agr_eur;publisher_journal_apc_agr_usd;publisher_journal_apc_agr_gbp;publisher_journal_url;publisher_journal_license;publisher_journal_imprint;publisher_standard_name;nsd_journal_id;nsd_level;npi_academic_discipline;npi_scientific_field;jct_journal_status;last_updated
acs;par;ACS Agricultural Science & Technology;NA;NA;2692-1952;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Bio Materials;NA;NA;2576-6422;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Electronic Materials;NA;NA;2637-6113;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Energy Materials;NA;NA;2574-0962;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Materials & Interfaces;NA;1944-8244;1944-8252;hybrid;NA;5851;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Nano Materials;NA;NA;2574-0970;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Applied Polymer Materials;NA;NA;2637-6105;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Bio & Med Chem Au;NA;NA;2694-2437;gold;NA;NA;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Biomaterials Science & Engineering;NA;NA;2373-9878;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Catalysis;NA;NA;2155-5435;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Chemical Biology;NA;1554-8929;1554-8937;hybrid;NA;2850;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Chemical Health & Safety;NA;NA;1878-0504;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Chemical Neuroscience;NA;NA;1948-7193;hybrid;NA;2251;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Combinatorial Science;NA;2156-8952;2156-8944;hybrid;NA;385;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS ES&T Engineering;NA;NA;2690-0645;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS ES&T Water;NA;NA;2690-0637;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
acs;par;ACS Earth & Space Chemistry;NA;NA;2472-3452;hybrid;NA;3000;NA;NA;5000;NA;NA;NA;NA;NA;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2022-04-20
