publisher;agr_type;publisher_journal_title;publisher_journal_id;publisher_pissn;publisher_eissn;publisher_journal_type;publisher_journal_price_eur;publisher_journal_price_usd;publisher_journal_price_gbp;publisher_journal_apc_eur;publisher_journal_apc_usd;publisher_journal_apc_gbp;publisher_journal_apc_agr_eur;publisher_journal_apc_agr_usd;publisher_journal_apc_agr_gbp;publisher_journal_url;publisher_journal_license;publisher_journal_imprint;publisher_standard_name;nsd_journal_id;nsd_level;npi_academic_discipline;npi_scientific_field;jct_journal_status;last_updated
acs;par;ACS Agricultural Science & Technology;acs_aastgj;NA;2692-1952;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/acsagscitech;CC-BY;NA;American Chemical Society;504491;NA;Natural Sciences and Engineering;Interdisciplinary Technology;transformative;2024-01-11
acs;par;ACS Applied Bio Materials;acs_aabmcb;NA;2576-6422;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aabmcb;CC-BY;NA;American Chemical Society;496906;NA;Natural Sciences and Engineering;Biosciences;transformative;2024-01-11
acs;par;ACS Applied Electronic Materials;acs_aaembp;NA;2637-6113;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aaembp;CC-BY;NA;American Chemical Society;498216;NA;Natural Sciences and Engineering;Chemistry and Materials Technology;NA;2024-01-11
acs;par;ACS Applied Energy Materials;acs_aaemcq;NA;2574-0962;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aaemcq;CC-BY;NA;American Chemical Society;494933;NA;Natural Sciences and Engineering;Chemistry and Materials Technology;NA;2024-01-11
acs;par;ACS Applied Engineering Materials (New in 2023);acs_aaemdr;NA;2771-9545;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aaemdr;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;transformative;2024-01-11
acs;par;ACS Applied Materials & Interfaces;acs_aamick;1944-8244;1944-8252;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aamick;CC-BY;NA;American Chemical Society;475978;NA;Natural Sciences and Engineering;Chemistry and Materials Technology;NA;2024-01-11
acs;par;ACS Applied Nano Materials;acs_aanmf6;NA;2574-0970;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aanmf6;CC-BY;NA;American Chemical Society;494802;NA;Natural Sciences and Engineering;Chemistry and Materials Technology;NA;2024-01-11
acs;par;ACS Applied Optical Materials (New in 2023);acs_aaoma6;NA;2771-9855;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aaoma6;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;transformative;2024-01-11
acs;par;ACS Applied Polymer Materials;acs_aapmcd;NA;2637-6105;hybrid;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/journal/aapmcd;CC-BY;NA;American Chemical Society;499714;NA;Natural Sciences and Engineering;Chemistry and Materials Technology;NA;2024-01-11
acs;par;ACS Bio & Med Chem Au1;acs_abmcb8;NA;2694-2437;gold;NA;NA;NA;NA;5000;NA;NA;NA;NA;pubs.acs.org/biomedchemau;CC-BY;NA;American Chemical Society;NA;NA;NA;NA;NA;2024-01-11
